regWord,ipaWord,formality,formalityScore,totalSentenceCount
like,lajk,0,0.233579,3669
get,gɛt,0,0.197281,2722
know,no,0,0.201445,2492
people,pipəl,0,0.299831,1771
really,rɪli,0,0.108338,1763
want,want,0,0.14123,1756
think,θɪŋk,0,0.196831,1641
going,goɪŋ,0,0.200431,1392
got,gat,0,0.272334,1388
anyone,ɛniwən,0,0.067658,1345
something,səmθɪŋ,0,0.250196,1275
help,hɛlp,0,0.173876,1179
need,nid,0,0.216169,1138
feel,fil,0,0.12523,1086
find,fajnd,0,0.258824,1020
edit,ɛdət,0,0.00105374,949
things,θɪŋz,0,0.242842,943
anything,ɛniθɪŋ,0,0.212555,908
looking,lʊkɪŋ,0,0.139798,794
pretty,prɪti,0,0.0957854,783
sure,ʃʊr,0,0.259021,776
love,ləv,0,0.160105,762
thing,θɪŋ,0,0.292479,718
game,gem,0,0.103787,713
getting,gɛtɪŋ,0,0.180375,693
else,ɛls,0,0.163531,691
best,bɛst,0,0.280415,674
lot,lat,0,0.123696,671
friends,frɛndz,0,0.135053,659
week,wik,0,0.281447,636
someone,səmwən,0,0.0913386,635
guys,gajz,0,0.0177706,619
started,startəd,0,0.245875,606
try,traj,0,0.181661,578
start,start,0,0.184028,576
keep,kip,0,0.298951,572
ago,əgo,0,0.275492,559
friend,frɛnd,0,0.153005,549
thanks,θæŋks,0,0.0421245,546
maybe,mebi,0,0.196691,544
seems,simz,0,0.257885,539
everything,ɛvriθɪŋ,0,0.197026,538
idea,ajdiə,0,0.235849,530
trying,trajɪŋ,0,0.194231,520
job,dʒab,0,0.291506,518
post,post,0,0.0945946,518
months,mənθs,0,0.225549,501
please,pliz,0,0.0750507,493
live,lajv,0,0.211813,491
play,ple,0,0.255624,489
actually,æktʃəwəli,0,0.204918,488
able,ebəl,0,0.279412,476
bit,bɪt,0,0.144397,464
bad,bæd,0,0.209503,463
tried,trajd,0,0.25486,463
thinking,θɪŋkəŋ,0,0.203905,461
guy,gaj,0,0.0780911,461
free,fri,0,0.299781,457
hard,hard,0,0.298246,456
everyone,ɛvriwən,0,0.143488,453
read,rɛd,0,0.254005,437
using,juzɪŋ,0,0.231884,414
hours,awərz,0,0.27561,410
person,pərsən,0,0.258794,398
couple,kəpəl,0,0.206107,393
advice,ædvajs,0,0.0851064,376
makes,meks,0,0.296791,374
weeks,wiks,0,0.236559,372
talk,tɔk,0,0.286104,367
working,wərkɪŋ,0,0.229226,349
wrong,rɔŋ,0,0.252874,348
recently,risəntli,0,0.20977,348
relationship,rileʃənʃɪp,0,0.145401,337
ask,æsk,0,0.25816,337
decided,dəsajdəd,0,0.26506,332
stop,stap,0,0.285714,329
ideas,ajdiəz,0,0.287975,316
questions,kwɛstʃənz,0,0.298413,315
interested,ɪntrəstəd,0,0.185304,313
playing,pleɪŋ,0,0.192926,311
nice,najs,0,0.184466,309
talking,tɔkɪŋ,0,0.220779,308
sex,sɛks,0,0.189542,306
wondering,wəndərɪŋ,0,0.049505,303
running,rənɪŋ,0,0.247525,303
fun,fən,0,0.0827815,302
month,mənθ,0,0.23588,301
stuff,stəf,0,0.0568562,299
buy,baj,0,0.152542,295
games,gemz,0,0.119454,293
happy,hæpi,0,0.252595,289
suggestions,səgdʒɛstʃənz,0,0.0565371,283
completely,kəmplitli,0,0.263345,281
thank,θæŋk,0,0.099631,271
phone,fon,0,0.166038,265
goes,goz,0,0.215909,264
gets,gɛts,0,0.155039,258
guess,gɛs,0,0.190476,252
watch,watʃ,0,0.216,250
dr,drajv,0,0,247
add,æd,0,0.268293,246
works,wərks,0,0.254167,240
awesome,asəm,0,0.0170213,235
hey,he,0,0.0553191,235
share,ʃɛr,0,0.24359,234
whatever,wətɛvər,0,0.281385,231
check,tʃɛk,0,0.294372,231
parents,pɛrənts,0,0.290043,231
basically,besɪkli,0,0.0567686,229
anyway,ɛniwe,0,0.165179,224
team,tim,0,0.232143,224
account,əkawnt,0,0.278027,223
sorry,sari,0,0.133641,217
cool,kul,0,0.209302,215
mine,majn,0,0.176744,215
link,lɪŋk,0,0.046729,214
appreciated,əpriʃietəd,0,0.0238095,210
bought,bat,0,0.165854,205
computer,kəmpjutər,0,0.0588235,204
currently,kərəntli,0,0.102941,204
seeing,siɪŋ,0,0.27451,204
starting,startɪŋ,0,0.161765,204
build,bɪld,0,0.298507,201
asking,æskɪŋ,0,0.16,200
site,sajt,0,0.23,200
wants,wants,0,0.255,200
video,vɪdio,0,0,199
update,əpdet,0,0,198
movie,muvi,0,0.0909091,198
looks,lʊks,0,0.27551,196
server,sərvər,0,0,192
date,det,0,0.293194,191
girlfriend,gərlfrɛnd,0,0,190
interesting,ɪntrəstɪŋ,0,0.278947,190
current,kərənt,0,0.285714,189
page,pedʒ,0,0.264865,185
amp,æmp,0,0.00543478,184
happen,hæpən,0,0.237569,181
im,ɪm,0,0,181
kids,kɪdz,0,0.121387,173
sleep,slip,0,0.260116,173
watching,watʃɪŋ,0,0.265896,173
hate,het,0,0.162791,172
items,ajtəmz,0,0.245614,171
comments,kamɛnts,0,0.105882,170
card,kard,0,0.120482,166
title,tajtəl,0,0.230303,165
tomorrow,təmaro,0,0.272727,165
smoke,smok,0,0.164634,164
noticed,notəst,0,0.220859,163
ended,ɛndəd,0,0.257669,163
willing,wɪlɪŋ,0,0.277778,162
pictures,pɪktʃərz,0,0.26875,160
anybody,ɛnibədi,0,0.18239,159
thoughts,θɔts,0,0.245283,159
weekend,wikɛnd,0,0.101266,158
store,stɔr,0,0.242038,157
screen,skrin,0,0.197452,157
huge,hjudʒ,0,0.197452,157
issues,ɪʃuz,0,0.229299,157
send,sɛnd,0,0.275641,156
text,tɛkst,0,0.258065,155
song,sɔŋ,0,0.292208,154
eat,it,0,0.292208,154
enjoy,ɛndʒɔj,0,0.151316,152
ok,oke,0,0.0263158,152
tonight,tənajt,0,0.172185,151
crazy,krezi,0,0.18543,151
worse,wərs,0,0.28,150
seriously,sɪriəsli,0,0.143836,146
mostly,mostli,0,0.226027,146
spend,spɛnd,0,0.2,145
internet,ɪntərnɛt,0,0,145
somewhere,səmwɛr,0,0.284722,144
windows,wɪndoz,0,0.223776,143
anymore,ɛnimɔr,0,0.0422535,142
message,mɛsədʒ,0,0.242857,140
random,rændəm,0,0.178571,140
background,bækgrawnd,0,0.266187,139
october,aktobər,0,0.248175,137
player,pleər,0,0.255474,137
explain,ɪksplen,0,0.291045,134
talked,tɔkt,0,0.253731,134
version,vərʒən,0,0.231343,134
lose,luz,0,0.295455,132
okay,oke,0,0.113636,132
posted,postəd,0,0.0454545,132
curious,kjʊriəs,0,0.227273,132
eventually,ɪvɛntʃəwəli,0,0.204545,132
happens,hæpənz,0,0.181818,132
feels,filz,0,0.221374,131
fellow,fɛlo,0,0.282443,131
towards,təwɔrdz,0,0.267176,131
